gene_symbol	ensembl_gene_id	total_nominations	first_nomination_year	nominating_teams	input_data	validation_details	pharos_class	in_snapshot	our_rank	overall_score	genetic_score	mutation_freq	expr_log2fc	prot_log2fc	chronos	frac_dependent	loeuf	druggability_score	tractability_modalities	max_disease_phase	n_disease_trials	n_publications	velocity	tissue_tau	target_class	is_common_essential	surface_or_secreted	winner_snapshot	rwr_snapshot	winner_global	winner_global_rank	string_degree	axes_with_data
SP1	ENSG00000185591	1	2018	Mayo-UFL-ISB	RNA	not prioritized for experimental validation	Tbio	yes	2413	0.0836645263299416			0.864				0.17867875839902878	0.3	1			1225	0.21306122448979592	0.224	Transcription factor	false	false			0.130144	1163	314	6
SP6	ENSG00000189120	1	2023	ASU	RNA	Validation studies ongoing 	Tbio	yes	5824	0.020769771866855764			-0.346				0.7236954451760788	0	0			320	0.140625	0.8166		false	false			0.014708	11438	43	6
SPATA22	ENSG00000141255	1	2020	ASU	Genetics; RNA; Protein	validation studies ongoing	Tbio	yes	6295				0.719				0.827428103286432	0	0			7	0.2857142857142857	0.9667		false	false			0.013794	11748	41	6
SPATS1	ENSG00000249481	1	2023	ASU	RNA	Validation studies ongoing 	Tbio	yes	6296				0.326				0.9702450942533323	0	0			5	0.2	0.9858		false	false			0.007514	14759	22	6
SPCS1	ENSG00000114902	1	2018	Columbia-Rush	Genetics; RNA; Protein; Clinical	not prioritized for experimental validation	Tbio	yes	4250	0.03925861080833106			-1.146				1.033862855360834	0.3	2			18	0.5	0.1571		false	false			0.053163	4352	154	6
SPG7	ENSG00000197912	1	2018	Columbia-Rush	Protein; Clinical	not prioritized for experimental validation	Tbio	yes	3166	0.06415289743332821			-0.096				1.4818272725036792	0.3	3			100	0.33	0.2243		false	false			0.112358	1522	280	6
SPI1	ENSG00000066336	1	2018	Mayo-UFL-ISB	RNA	not prioritized for experimental validation	Tbio	yes	216	0.4204941977127133	0.2669136177937882		0.493				0.25291358956215826	0.3	2			547	0.4954296160877514	0.6536		false	false	0.2078	0.0172	0.160243	773	416	6
SPTB	ENSG00000070182	1	2020	ASU	Genetics; RNA; Protein	validation studies ongoing	Tbio	yes	6297	0.009780633380306058			0.555				0.22522694973570231	0.3	2			46	0.3695652173913043	0.7609		false	false			0.027820	8002	72	6
SPTLC1	ENSG00000090054	1	2023	Duke	Metabolomics; Genetics	Not prioritized for experimental validation 	Tchem	yes	6298	0.0062010349103189906			-0.64				0.9999438928599294	0.3	3			80	0.275	0.2751	Transferase	true	false			0.056479	4055	133	6
SPTLC3	ENSG00000172296	1	2018	Duke	Genetics; Metabolomics	validation studies ongoing	Tbio	yes	6299	0.007978805847616371			-0.779				0.8018064336763642	0.3	2			37	0.43243243243243246	0.6732	Transferase	false	false			0.039491	5959	84	6
SREBF1	ENSG00000072310	1	2018	Duke	Genetics; Metabolomics	not prioritized for experimental validation	Tchem	yes	286	0.37871467017950483			0.982				0.5762263600928709	0.3	3			225	0.35555555555555557	0.3384	Transcription factor	false	false	0.228	0.0203	0.156032	814	385	6
SREBF2	ENSG00000198911	1	2018	Duke	Genetics; Metabolomics	not prioritized for experimental validation	Tchem	yes	3285	0.06081669588195811			1.504				0.608762317084902	0.3	3			394	0.2918781725888325	0.2174	Transcription factor	false	false			0.083269	2457	199	6
